symbol,exchange,quoteType,rank,fundop_annual_report_expense_ratio,fundop_annual_holdings_turnover,fundop_total_net_assets,market,etf_type,info_market,info_region,info_currency,info_netExpenseRatio,info_totalAssets,info_netAssets,info_fundInceptionDate,info_fundFamily,info_legalType,info_category,info_averageDailyVolume3Month,info_averageVolume,info_threeYearAverageReturn,info_fiveYearAverageReturn,info_ytdReturn,info_fiftyTwoWeekChangePercent
FIVA,PCX,etf,20001.0,0.0019,0.71,62073.71,US,index,us_market,US,USD,0.19,348784512.0,348784512.0,1516060800.0,Fidelity Investments,Exchange Traded Fund,Foreign Large Value,140301.0,140301.0,0.21288161,0.1451752,44.6506,42.499043
XQLT.TO,TOR,etf,20001.0,0.0,0.35279998,469133.4,Canada,index,ca_market,US,CAD,,203701536.0,203701536.0,1567555200.0,BlackRock Asset Management Canada Ltd,Exchange Traded Fund,,21459.0,21459.0,0.19404869,0.1448437,7.02492,4.1811824
ESMV,NGM,etf,20001.0,0.0018000001,0.24,115956.57,US,index,us_market,US,USD,0.18,7209658.0,7209658.0,1635811200.0,iShares,Exchange Traded Fund,Large Blend,566.0,566.0,0.09717789,,5.29554,0.82592964
QVMS,PCX,etf,20001.0,0.0015,0.35,3223.24,US,index,us_market,US,USD,0.15,210244672.0,210244672.0,1625011200.0,Invesco,Exchange Traded Fund,Small Blend,355.0,355.0,0.0851309,,5.55632,8.144295
VFVA,BTS,etf,20001.0,0.0013,0.39,11251.83,US,equity,us_market,US,USD,0.13,737978816.0,737978820.0,1518480000.0,Vanguard,Exchange Traded Fund,Mid-Cap Value,12191.0,12191.0,0.1124978,0.13534449,14.68086,14.405727
VFQY,BTS,etf,20001.0,0.0013,0.44,26470.06,US,equity,us_market,US,USD,0.13,438299584.0,438299584.0,1518480000.0,Vanguard,Exchange Traded Fund,Mid-Cap Blend,8770.0,8770.0,0.1242872,0.0984824,10.29875,6.8805456
WBIY,NYQ,etf,20001.0,0.0097,1.41,17588.1,US,index,us_market,US,USD,0.97,55680656.0,55680656.0,1482105600.0,WBI Investments,Exchange Traded Fund,Mid-Cap Value,10010.0,10010.0,0.10053799,0.1230714,12.79489,14.637756
USML,PCX,etf,20001.0,0.0095,0.0,0.0,US,index,us_market,US,USD,0.95,4187130.0,4187130.0,1612483200.0,UBS,Exchange Traded Fund,Trading--Leveraged Equity,166.0,166.0,0.1454844,,8.98507,1.017189
QEF.NE,NEO,etf,20001.0,0.0,0.8785,353470.84,Canada,equity,ca_market,US,CAD,,107733640.0,107733640.0,1518393600.0,AGF Investments Inc.,Exchange Traded Fund,,909.0,909.0,0.1795723,0.113173306,15.40161,13.272608
XVLU.TO,TOR,etf,20001.0,0.0,0.5513,116011.7,Canada,index,ca_market,US,CAD,,39530568.0,39530568.0,1567555200.0,BlackRock Asset Management Canada Ltd,Exchange Traded Fund,,5121.0,5121.0,0.1902138,0.1405682,25.74689,29.437674
